latitude,longitude,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,soil_moisture_index,ndvi,days_without_rain,brightness,frp,confidence,month,biome,fire_risk
-18.767475483800226,-43.42773535876812,26.18915986710849,68.95279889262609,0.5337811936074881,11.100587776820593,0.5342204099312473,0.18990637994296755,18,311.3701575714058,9.136493816767736,49.59731955246956,9,Cerrado,0
3.127143643576815,-72.04111025810674,27.95389063127736,64.95472154534245,0.925738018264708,8.284831674190166,0.8238017499205379,0.3781902684474525,22,356.62467429928944,19.442263516474192,32.118617332310826,3,Cerrado,0
-5.184230211166607,-72.1371814903691,20.58280903889525,59.212440178356665,9.212644197047217,23.74263160931111,0.10314676087836105,0.8011367548835943,26,332.26996876193857,1.3425413275409326,40.638066343558556,9,Mata Atlantica,1
-10.25097760051261,-60.379201453167894,24.970649667519055,50.526484874659914,1.3238041810935977,7.706687871108418,0.9430207096457361,0.2613241690135138,26,302.9694970288983,15.108689743690043,32.21465859879618,8,Amazonia,0
-27.071291663187413,-53.942915574218034,33.82425816548729,76.6095698525297,1.470674449820992,10.284608297575707,0.795072881181164,0.1625936788640182,38,304.01539379343944,46.34678324815801,90.94180068339413,12,Pantanal,0
-27.0722082272243,-42.95411070549606,37.07791411774116,57.52647765726485,2.1482700104602097,13.663347345144242,0.18125025555155194,0.7304951519561752,35,319.67642179070754,24.44495528942355,78.55233592104256,7,Pantanal,0
-30.79282273760842,-46.3514803123463,22.82825564060039,19.59274533543126,10.23697691652517,14.400851862977111,0.7120079611981627,0.768388924514637,11,328.8731384432479,31.89855457975184,64.87417968354092,8,Cerrado,0
-0.08530646055246649,-55.60979445130681,26.037678704235528,34.89064368927396,0.6913650277669371,15.831728220862736,0.38495872263755715,0.2301217745519205,26,346.54395689654655,22.893688846162092,37.95401779964265,10,Pampa,1
-10.157629553758067,-62.32856001501503,28.867971215205365,51.65477646053055,2.858622316273225,19.230434031077053,0.4022946780763187,0.7834767862261723,33,286.0542115418012,4.628280959941306,60.81814617593559,6,Mata Atlantica,0
-6.093242043750273,-34.112144493849264,30.400805794098034,60.57998169697999,3.146817865733556,14.02463062184285,0.7832900924388664,0.6494142364777357,32,328.08634753237345,2.3415516424304577,61.66665651580579,3,Mata Atlantica,0
